campaign_type,unique_leads,opportunities,pipeline
Direct Mail,24922,30805,119836785.76999986
Events,15041,20719,60883016.32999945
Webinars,15197,31060,51435126.64000023
Content Syndication,9132,5471,29993621.490000054
Organic Search,3584,3212,13144600.529999983
Non-Marketing - Partner/Operational,6399,3570,10933042.129999978
Enablement,1495,5885,6848513.559999999
Email,3522,3309,5311952.979999997
Paid Digital,1305,893,3079370.450000004
Partner Webinars,738,1241,1907450.3800000013
Partner SPIFF,37,60,1277614.1900000004
Non-Marketing - Other,473,752,1068176.7799999984
Non-Marketing - None,367,1209,641229.7700000003
Social Media,224,57,502581.4599999999
Partner Roadshow,53,91,319978.00999999995
Paid Search,180,164,224918.42000000004
List,657,195,220359.13000000003
Partner Tradeshow,103,63,194264.78999999995
Reference,23,32,139022.63999999998
Telemarketing,9,2,75644.23999999999
Misc.,22,48,42123.17
Lead Gen - 3rd Party Lead Provider,6,1,6167.89
Messaging,4,1,0.0
Partner Account Mapping,1,2,0.0
Website,1,0,0.0
