year,campaign_type,unique_leads,pipeline
FY24,Webinars,483,108230.45
FY24,Direct Mail,505,74803.86
FY24,Events,819,64614.649999999994
FY24,Organic Search,75,43223.56000000001
FY24,Non-Marketing - Partner/Operational,47,15933.670000000002
FY24,Non-Marketing - ADR Outbound,77,0.0
FY24,Non-Marketing - AE Outbound,19,0.0
FY24,Non-Marketing - None,5,0.0
FY24,Non-Marketing - Other,10,0.0
FY24,Paid Digital,48,0.0
FY24,Paid Search,73,0.0
FY24,Partner Roadshow,2,0.0
FY24,Partner Webinars,34,0.0
FY24,Social Media,5,0.0
FY24,Telemarketing,3,0.0
FY24,Content Syndication,454,0.0
FY24,Email,153,0.0
FY24,Enablement,135,0.0
FY24,List,10,0.0
FY24,Misc.,5,0.0
FY25,Non-Marketing - AE Outbound,1309,60751433.59000113
FY25,Non-Marketing - ADR Outbound,1859,37206374.329999916
FY25,Direct Mail,5313,23200166.930000007
FY25,Paid Search,2033,15296718.25999997
FY25,Organic Search,1750,14646907.589999981
FY25,Events,5679,12895144.060000047
FY25,Content Syndication,2554,8138831.929999994
FY25,Email,1478,7565721.069999804
FY25,Webinars,4209,6498457.74
FY25,Paid Digital,754,4498747.549999996
FY25,Non-Marketing - Partner/Operational,646,2359415.039999999
FY25,Enablement,777,1947419.680000009
FY25,Referrals,238,891875.5800000001
FY25,Telemarketing,27,655452.2599999999
FY25,Partner Webinars,142,603042.61
FY25,Other,0,43370.39
FY25,Partner SPIFF,10,39726.43000000001
FY25,Social Media,18,11858.02
FY25,Lead Gen - 3rd Party Lead Provider,1,6167.89
FY25,Partner Tradeshow,9,1196.08
FY25,Partner Roadshow,3,0.0
FY25,Non-Marketing - None,40,0.0
FY25,Non-Marketing - Other,44,0.0
FY25,List,90,0.0
FY25,Partner Events,6,0.0
FY25,Misc.,25,0.0
FY25,Reference,1,0.0
FY26,Non-Marketing - AE Outbound,2927,155255047.43000618
FY26,Non-Marketing - ADR Outbound,3008,81412413.35999957
FY26,Direct Mail,11611,71181113.18000013
FY26,Events,7425,51293217.78999931
FY26,Paid Search,4382,42348904.91000005
FY26,Webinars,9545,31819025.110000238
FY26,Email,845,31657666.40000049
FY26,Content Syndication,4326,29859398.939999927
FY26,Organic Search,2866,22205320.409999985
FY26,Non-Marketing - Partner/Operational,1863,9591380.409999985
FY26,Paid Digital,1238,8605641.439999992
FY26,Enablement,760,3694085.1899999967
FY26,Referrals,501,1791679.5399999982
FY26,Non-Marketing - Other,201,1351752.490000001
FY26,Partner SPIFF,26,1215177.51
FY26,Partner Webinars,278,1119375.2800000003
FY26,Social Media,74,621118.6399999999
FY26,Non-Marketing - None,277,284701.1500000001
FY26,Partner Roadshow,37,232710.99999999997
FY26,Partner Tradeshow,30,193068.7099999999
FY26,List,168,165345.19000000006
FY26,Reference,38,110614.23
FY26,Telemarketing,19,93845.62999999999
FY26,Other,0,44208.35000000001
FY26,Partner Events,7,0.0
FY26,Partner Account Mapping,1,0.0
FY26,Misc.,200,0.0
