region,quarter,pipeline
Benelux,FY24 Q1,0.0
Canada,FY24 Q1,0.0
DACH,FY24 Q1,0.0
France,FY24 Q1,0.0
Mexico,FY24 Q1,0.0
UKI,FY24 Q1,0.0
United States,FY24 Q1,38111.72
Benelux,FY24 Q2,0.0
Canada,FY24 Q2,0.0
DACH,FY24 Q2,0.0
France,FY24 Q2,0.0
Mexico,FY24 Q2,15933.670000000002
Other,FY24 Q2,0.0
UKI,FY24 Q2,0.0
United States,FY24 Q2,46796.7
Benelux,FY24 Q3,0.0
Canada,FY24 Q3,0.0
DACH,FY24 Q3,0.0
France,FY24 Q3,0.0
Mexico,FY24 Q3,0.0
UKI,FY24 Q3,0.0
United States,FY24 Q3,19291.46
Benelux,FY24 Q4,0.0
Canada,FY24 Q4,79.13
DACH,FY24 Q4,0.0
France,FY24 Q4,0.0
Mexico,FY24 Q4,3787.56
Other,FY24 Q4,0.0
UKI,FY24 Q4,0.0
United States,FY24 Q4,182805.95
Benelux,FY25 Q1,0.0
Canada,FY25 Q1,4036.91
DACH,FY25 Q1,2073.16
France,FY25 Q1,0.0
Mexico,FY25 Q1,24059.71
Other,FY25 Q1,0.0
UKI,FY25 Q1,50801.06
United States,FY25 Q1,633887.6599999999
Benelux,FY25 Q2,172173.96000000002
Canada,FY25 Q2,1558069.6400000006
DACH,FY25 Q2,286097.0599999999
France,FY25 Q2,285257.2200000001
Mexico,FY25 Q2,2683723.6899999995
Other,FY25 Q2,0.0
UKI,FY25 Q2,3512391.4100000006
United States,FY25 Q2,29024434.449999988
Benelux,FY25 Q3,200410.7
Canada,FY25 Q3,5956828.000000002
DACH,FY25 Q3,790240.0800000001
France,FY25 Q3,1984771.2700000005
Mexico,FY25 Q3,4718582.289999999
Other,FY25 Q3,0.0
UKI,FY25 Q3,8569842.430000007
United States,FY25 Q3,69770048.13999996
Benelux,FY25 Q4,220654.47
Canada,FY25 Q4,2838730.430000002
DACH,FY25 Q4,917682.2900000004
France,FY25 Q4,1221447.8900000001
Mexico,FY25 Q4,4766923.530000003
UKI,FY25 Q4,4605475.770000003
United States,FY25 Q4,52459383.80999987
Benelux,FY26 Q1,704319.89
Canada,FY26 Q1,3710359.9999999995
DACH,FY26 Q1,574680.3800000005
France,FY26 Q1,1224850.22
Mexico,FY26 Q1,5631177.889999994
Other,FY26 Q1,0.0
UKI,FY26 Q1,5373003.4999999935
United States,FY26 Q1,98375477.28999981
Benelux,FY26 Q2,363130.82
Canada,FY26 Q2,4371767.690000007
DACH,FY26 Q2,1502745.5500000005
France,FY26 Q2,1327030.9699999997
Mexico,FY26 Q2,6629680.249999998
Other,FY26 Q2,39196.64
UKI,FY26 Q2,6186021.110000002
United States,FY26 Q2,119516021.94999981
Benelux,FY26 Q3,467242.84
Canada,FY26 Q3,7065276.57999999
DACH,FY26 Q3,2195194.8899999997
France,FY26 Q3,3454786.290000001
Mexico,FY26 Q3,8978391.79999999
Other,FY26 Q3,14807.619999999999
UKI,FY26 Q3,8220710.480000011
United States,FY26 Q3,121946516.6599995
Benelux,FY26 Q4,411160.83
Canada,FY26 Q4,8385435.469999993
DACH,FY26 Q4,2013453.9499999997
France,FY26 Q4,1848424.47
Mexico,FY26 Q4,7689025.830000004
Other,FY26 Q4,225146.90000000002
UKI,FY26 Q4,7537393.280000001
United States,FY26 Q4,111278852.05000018
