year,quarter,account_sector,pipeline,pct_of_quarter
FY24,FY24 Q1,Private,38111.72,100.0
FY24,FY24 Q1,Public,0.0,0.0
FY24,FY24 Q2,Private,33138.45,52.82680462429921
FY24,FY24 Q2,Public,29591.92,47.1731953757008
FY24,FY24 Q3,Private,19291.46,100.0
FY24,FY24 Q3,Public,0.0,0.0
FY24,FY24 Q4,Private,186672.64,100.0
FY24,FY24 Q4,Public,0.0,0.0
FY25,FY25 Q1,Private,708761.99,99.14717248238637
FY25,FY25 Q1,Public,6096.51,0.8528275176136256
FY25,FY25 Q2,Private,32294815.08999993,86.06867490792753
FY25,FY25 Q2,Public,5227332.3400000045,13.931325092072466
FY25,FY25 Q3,Private,83442347.78000022,90.70735085062506
FY25,FY25 Q3,Public,8548375.129999988,9.292649149374935
FY25,FY25 Q4,Private,60074319.54999973,89.62263509512812
FY25,FY25 Q4,Public,6955978.640000006,10.377364904871884
FY26,FY26 Q1,Private,104666770.24999994,90.54699094471013
FY26,FY26 Q1,Public,10927098.920000011,9.453009055289861
FY26,FY26 Q2,Private,116492962.85999928,83.24755604651511
FY26,FY26 Q2,Public,23442632.119999997,16.752443953484892
FY26,FY26 Q3,Private,134694011.25999928,88.41500801578789
FY26,FY26 Q3,Public,17648915.900000002,11.584991984212104
FY26,FY26 Q4,Private,119078622.98000003,85.42906153070886
FY26,FY26 Q4,Public,20310269.800000004,14.57093846929114
